Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,momentum
2021-02-11 00:00:00-05:00,564.4400024414062,565.9299926757812,554.219970703125,557.5900268554688,2730600,0.0,0.0,
2021-02-12 00:00:00-05:00,556.9400024414062,561.25,550.8499755859375,556.52001953125,2197100,0.0,0.0,-0.0019189857649589692
2021-02-16 00:00:00-05:00,557.2899780273438,563.6300048828125,552.72998046875,557.280029296875,2624100,0.0,0.0,0.0013656467673259787
2021-02-17 00:00:00-05:00,550.989990234375,555.25,543.030029296875,551.3400268554688,2069600,0.0,0.0,-0.01065891854926293
2021-02-18 00:00:00-05:00,549.0,550.0,538.22998046875,548.219970703125,2456200,0.0,0.0,-0.0056590416083860395
2021-02-19 00:00:00-05:00,548.0,548.989990234375,538.8099975585938,540.219970703125,2841500,0.0,0.0,-0.014592682549925184
2021-02-22 00:00:00-05:00,534.989990234375,541.7899780273438,530.7899780273438,533.780029296875,3078600,0.0,0.0,-0.011920961377766326
2021-02-23 00:00:00-05:00,525.0,548.5399780273438,518.280029296875,546.1500244140625,4136500,0.0,0.0,0.02317433106945188
2021-02-24 00:00:00-05:00,539.7999877929688,556.8499755859375,539.0700073242188,553.4099731445312,3245000,0.0,0.0,0.013292956890842644
2021-02-25 00:00:00-05:00,550.27001953125,556.47998046875,535.75,546.7000122070312,4252900,0.0,0.0,-0.012124756081595911
2021-02-26 00:00:00-05:00,546.510009765625,553.0900268554688,538.0,538.8499755859375,3755600,0.0,0.0,-0.014358947221170038
2021-03-01 00:00:00-05:00,545.5700073242188,552.1400146484375,542.0,550.6400146484375,3041400,0.0,0.0,0.021880002963124756
2021-03-02 00:00:00-05:00,553.3400268554688,556.989990234375,546.02001953125,547.8200073242188,3042200,0.0,0.0,-0.005121326545836302
2021-03-03 00:00:00-05:00,545.9299926757812,548.010009765625,517.8099975585938,520.7000122070312,5362400,0.0,0.0,-0.04950530238874051
2021-03-04 00:00:00-05:00,521.5,531.5,507.67999267578125,511.2900085449219,5034800,0.0,0.0,-0.018071832996938597
2021-03-05 00:00:00-05:00,511.9800109863281,517.760009765625,498.7900085449219,516.3900146484375,5070000,0.0,0.0,0.009974781470949656
2021-03-08 00:00:00-05:00,514.4600219726562,518.8400268554688,492.8500061035156,493.3299865722656,3981800,0.0,0.0,-0.044656223827006625
2021-03-09 00:00:00-05:00,507.30999755859375,513.1099853515625,503.82000732421875,506.44000244140625,3470000,0.0,0.0,0.026574536772498103
2021-03-10 00:00:00-05:00,513.5,518.969970703125,504.25,504.5400085449219,3771500,0.0,0.0,-0.0037516663125445326
2021-03-11 00:00:00-05:00,512.2000122070312,530.239990234375,510.7099914550781,523.0599975585938,4714500,0.0,0.0,0.036706680738922914
2021-03-12 00:00:00-05:00,512.5,526.510009765625,506.5899963378906,518.02001953125,3981700,0.0,0.0,-0.009635563894903165
2021-03-15 00:00:00-04:00,516.3200073242188,520.72998046875,508.0299987792969,520.25,3484300,0.0,0.0,0.004304815228507675
2021-03-16 00:00:00-04:00,524.469970703125,533.4199829101562,523.2100219726562,524.030029296875,3238900,0.0,0.0,0.007265793939212006
2021-03-17 00:00:00-04:00,522.0,528.3699951171875,514.2999877929688,524.4400024414062,2817400,0.0,0.0,0.000782346662616451
2021-03-18 00:00:00-04:00,516.4000244140625,517.9000244140625,503.8500061035156,504.7900085449219,4094500,0.0,0.0,-0.03746852605638107
